Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,37769499
"Population, total",SP.POP.TOTL,Albania,ALB,2854191
"Population, total",SP.POP.TOTL,Algeria,DZA,42705368
"Population, total",SP.POP.TOTL,American Samoa,ASM,47321
"Population, total",SP.POP.TOTL,Andorra,AND,76343
"Population, total",SP.POP.TOTL,Angola,AGO,32353588
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,92117
"Population, total",SP.POP.TOTL,Argentina,ARG,44938712
"Population, total",SP.POP.TOTL,Armenia,ARM,2820602
"Population, total",SP.POP.TOTL,Aruba,ABW,106442
"Population, total",SP.POP.TOTL,Australia,AUS,25340217
"Population, total",SP.POP.TOTL,Austria,AUT,8879920
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,10024283
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,404557
"Population, total",SP.POP.TOTL,Bahrain,BHR,1494188
"Population, total",SP.POP.TOTL,Bangladesh,BGD,165516222
"Population, total",SP.POP.TOTL,Barbados,BRB,280180
"Population, total",SP.POP.TOTL,Belarus,BLR,9419758
"Population, total",SP.POP.TOTL,Belgium,BEL,11488980
"Population, total",SP.POP.TOTL,Belize,BLZ,389095
"Population, total",SP.POP.TOTL,Benin,BEN,12290444
"Population, total",SP.POP.TOTL,Bermuda,BMU,63911
"Population, total",SP.POP.TOTL,Bhutan,BTN,767459
"Population, total",SP.POP.TOTL,Bolivia,BOL,11777315
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3360711
"Population, total",SP.POP.TOTL,Botswana,BWA,2499702
"Population, total",SP.POP.TOTL,Brazil,BRA,211782878
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,30610
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,438048
"Population, total",SP.POP.TOTL,Bulgaria,BGR,6975761
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,20951639
"Population, total",SP.POP.TOTL,Burundi,BDI,11874838
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,577030
"Population, total",SP.POP.TOTL,Cambodia,KHM,16207746
"Population, total",SP.POP.TOTL,Cameroon,CMR,25782341
"Population, total",SP.POP.TOTL,Canada,CAN,37601230
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,66134
"Population, total",SP.POP.TOTL,Central African Republic,CAF,5209324
"Population, total",SP.POP.TOTL,Chad,TCD,16126866
"Population, total",SP.POP.TOTL,Channel Islands,CHI,169410
"Population, total",SP.POP.TOTL,Chile,CHL,19039485
"Population, total",SP.POP.TOTL,China,CHN,1407745000
"Population, total",SP.POP.TOTL,Colombia,COL,50187406
"Population, total",SP.POP.TOTL,Comoros,COM,790986
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,89906890
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5570733
"Population, total",SP.POP.TOTL,Costa Rica,CRI,5084532
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,26147551
"Population, total",SP.POP.TOTL,Croatia,HRV,4065253
"Population, total",SP.POP.TOTL,Cuba,CUB,11316697
"Population, total",SP.POP.TOTL,Curacao,CUW,157441
"Population, total",SP.POP.TOTL,Cyprus,CYP,1228836
"Population, total",SP.POP.TOTL,Czechia,CZE,10671870
"Population, total",SP.POP.TOTL,Denmark,DNK,5814422
"Population, total",SP.POP.TOTL,Djibouti,DJI,1073994
"Population, total",SP.POP.TOTL,Dominica,DMA,71428
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10881882
"Population, total",SP.POP.TOTL,Ecuador,ECU,17343740
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,105618671
"Population, total",SP.POP.TOTL,El Salvador,SLV,6280217
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1553031
"Population, total",SP.POP.TOTL,Eritrea,ERI,3498818
"Population, total",SP.POP.TOTL,Estonia,EST,1326898
"Population, total",SP.POP.TOTL,Ethiopia,ETH,114120594
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,51681
"Population, total",SP.POP.TOTL,Fiji,FJI,918465
"Population, total",SP.POP.TOTL,Finland,FIN,5521606
"Population, total",SP.POP.TOTL,France,FRA,67388001
"Population, total",SP.POP.TOTL,French Polynesia,PYF,299717
"Population, total",SP.POP.TOTL,Gabon,GAB,2242785
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2508883
"Population, total",SP.POP.TOTL,Georgia,GEO,3720161
"Population, total",SP.POP.TOTL,Germany,DEU,83092962
"Population, total",SP.POP.TOTL,Ghana,GHA,31522290
"Population, total",SP.POP.TOTL,Gibraltar,GIB,32685
"Population, total",SP.POP.TOTL,Greece,GRC,10721582
"Population, total",SP.POP.TOTL,Greenland,GRL,56225
"Population, total",SP.POP.TOTL,Grenada,GRD,122724
"Population, total",SP.POP.TOTL,Guam,GUM,168624
"Population, total",SP.POP.TOTL,Guatemala,GTM,16604026
"Population, total",SP.POP.TOTL,Guinea,GIN,12877539
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1970457
"Population, total",SP.POP.TOTL,Guyana,GUY,798753
"Population, total",SP.POP.TOTL,Haiti,HTI,11160438
"Population, total",SP.POP.TOTL,Honduras,HND,9958829
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7507900
"Population, total",SP.POP.TOTL,Hungary,HUN,9771141
"Population, total",SP.POP.TOTL,Iceland,ISL,360563
"Population, total",SP.POP.TOTL,India,IND,1383112050
"Population, total",SP.POP.TOTL,Indonesia,IDN,269582878
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,86564202
"Population, total",SP.POP.TOTL,Iraq,IRQ,41563520
"Population, total",SP.POP.TOTL,Ireland,IRL,4934340
"Population, total",SP.POP.TOTL,Isle of Man,IMN,83933
"Population, total",SP.POP.TOTL,Israel,ISR,9054000
"Population, total",SP.POP.TOTL,Italy,ITA,59729081
"Population, total",SP.POP.TOTL,Jamaica,JAM,2813773
"Population, total",SP.POP.TOTL,Japan,JPN,126633000
"Population, total",SP.POP.TOTL,Jordan,JOR,10698683
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,18513673
"Population, total",SP.POP.TOTL,Kenya,KEN,50951450
"Population, total",SP.POP.TOTL,Kiribati,KIR,124241
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,25755441
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51764822
"Population, total",SP.POP.TOTL,Kosovo,XKX,1788878
"Population, total",SP.POP.TOTL,Kuwait,KWT,4441100
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6456200
"Population, total",SP.POP.TOTL,Lao PDR,LAO,7212053
"Population, total",SP.POP.TOTL,Latvia,LVA,1913822
"Population, total",SP.POP.TOTL,Lebanon,LBN,5781907
"Population, total",SP.POP.TOTL,Lesotho,LSO,2225702
"Population, total",SP.POP.TOTL,Liberia,LBR,4985289
"Population, total",SP.POP.TOTL,Libya,LBY,6569088
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,38482
"Population, total",SP.POP.TOTL,Lithuania,LTU,2794137
"Population, total",SP.POP.TOTL,Luxembourg,LUX,620001
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,663653
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2076694
"Population, total",SP.POP.TOTL,Madagascar,MDG,27533134
"Population, total",SP.POP.TOTL,Malawi,MWI,18867337
"Population, total",SP.POP.TOTL,Malaysia,MYS,32804020
"Population, total",SP.POP.TOTL,Maldives,MDV,504508
"Population, total",SP.POP.TOTL,Mali,MLI,20567424
"Population, total",SP.POP.TOTL,Malta,MLT,504062
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,44728
"Population, total",SP.POP.TOTL,Mauritania,MRT,4383849
"Population, total",SP.POP.TOTL,Mauritius,MUS,1265985
"Population, total",SP.POP.TOTL,Mexico,MEX,125085311
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,111379
"Population, total",SP.POP.TOTL,Moldova,MDA,2664224
"Population, total",SP.POP.TOTL,Monaco,MCO,37034
"Population, total",SP.POP.TOTL,Mongolia,MNG,3232430
"Population, total",SP.POP.TOTL,Montenegro,MNE,622028
"Population, total",SP.POP.TOTL,Morocco,MAR,36304408
"Population, total",SP.POP.TOTL,Mozambique,MOZ,30285595
"Population, total",SP.POP.TOTL,Myanmar,MMR,53040212
"Population, total",SP.POP.TOTL,Namibia,NAM,2446644
"Population, total",SP.POP.TOTL,Nauru,NRU,12132
"Population, total",SP.POP.TOTL,Nepal,NPL,28832496
"Population, total",SP.POP.TOTL,Netherlands,NLD,17344874
"Population, total",SP.POP.TOTL,New Caledonia,NCL,271240
"Population, total",SP.POP.TOTL,New Zealand,NZL,4979200
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6663924
"Population, total",SP.POP.TOTL,Niger,NER,23443393
"Population, total",SP.POP.TOTL,Nigeria,NGA,203304492
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,49858
"Population, total",SP.POP.TOTL,Norway,NOR,5347896
"Population, total",SP.POP.TOTL,Oman,OMN,4602768
"Population, total",SP.POP.TOTL,Pakistan,PAK,223293280
"Population, total",SP.POP.TOTL,Palau,PLW,17916
"Population, total",SP.POP.TOTL,Panama,PAN,4232532
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,9542486
"Population, total",SP.POP.TOTL,Paraguay,PRY,6530026
"Population, total",SP.POP.TOTL,Peru,PER,32824861
"Population, total",SP.POP.TOTL,Philippines,PHL,110380804
"Population, total",SP.POP.TOTL,Poland,POL,37965475
"Population, total",SP.POP.TOTL,Portugal,PRT,10286263
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3193694
"Population, total",SP.POP.TOTL,Qatar,QAT,2807235
"Population, total",SP.POP.TOTL,Romania,ROU,19371648
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144406261
"Population, total",SP.POP.TOTL,Rwanda,RWA,12835028
"Population, total",SP.POP.TOTL,Samoa,WSM,211905
"Population, total",SP.POP.TOTL,San Marino,SMR,34178
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,214599
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,35827362
"Population, total",SP.POP.TOTL,Senegal,SEN,16000781
"Population, total",SP.POP.TOTL,Serbia,SRB,6945235
"Population, total",SP.POP.TOTL,Seychelles,SYC,97625
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,8046828
"Population, total",SP.POP.TOTL,Singapore,SGP,5703569
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,41608
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5454147
"Population, total",SP.POP.TOTL,Slovenia,SVN,2088385
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,674993
"Population, total",SP.POP.TOTL,Somalia,SOM,15981300
"Population, total",SP.POP.TOTL,South Africa,ZAF,58087055
"Population, total",SP.POP.TOTL,South Sudan,SSD,10447666
"Population, total",SP.POP.TOTL,Spain,ESP,47134837
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,21803000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,47712
"Population, total",SP.POP.TOTL,St. Lucia,LCA,178583
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,33121
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,104924
"Population, total",SP.POP.TOTL,Sudan,SDN,43232093
"Population, total",SP.POP.TOTL,Suriname,SUR,600301
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1169613
"Population, total",SP.POP.TOTL,Sweden,SWE,10278887
"Population, total",SP.POP.TOTL,Switzerland,CHE,8575280
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,20098251
"Population, total",SP.POP.TOTL,Tajikistan,TJK,9337003
"Population, total",SP.POP.TOTL,Tanzania,TZA,59872579
"Population, total",SP.POP.TOTL,Thailand,THA,71307763
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1280438
"Population, total",SP.POP.TOTL,Togo,TGO,8243094
"Population, total",SP.POP.TOTL,Tonga,TON,104951
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1519955
"Population, total",SP.POP.TOTL,Tunisia,TUN,12049314
"Population, total",SP.POP.TOTL,Turkiye,TUR,83481684
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,6158420
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,43080
"Population, total",SP.POP.TOTL,Tuvalu,TUV,10956
"Population, total",SP.POP.TOTL,Uganda,UGA,42949080
"Population, total",SP.POP.TOTL,Ukraine,UKR,44386203
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,9211657
"Population, total",SP.POP.TOTL,United Kingdom,GBR,66836327
"Population, total",SP.POP.TOTL,United States,USA,328329953
"Population, total",SP.POP.TOTL,Uruguay,URY,3428409
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,33580350
"Population, total",SP.POP.TOTL,Vanuatu,VUT,304404
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,28971683
"Population, total",SP.POP.TOTL,Viet Nam,VNM,95776716
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,106669
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,4685306
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,31546691
"Population, total",SP.POP.TOTL,Zambia,ZMB,18380477
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,15354608
Population growth (annual %),SP.POP.GROW,Afghanistan,AFG,2.90852909268743
Population growth (annual %),SP.POP.GROW,Albania,ALB,-0.426007367032238
Population growth (annual %),SP.POP.GROW,Algeria,DZA,1.83944488568624
Population growth (annual %),SP.POP.GROW,American Samoa,ASM,-2.30413869890523
Population growth (annual %),SP.POP.GROW,Andorra,AND,1.75749125736997
Population growth (annual %),SP.POP.GROW,Angola,AGO,3.39527779197097
Population growth (annual %),SP.POP.GROW,Antigua and Barbuda,ATG,0.534443400511753
Population growth (annual %),SP.POP.GROW,Argentina,ARG,0.993397493293046
Population growth (annual %),SP.POP.GROW,Armenia,ARM,-0.564065542556681
Population growth (annual %),SP.POP.GROW,Aruba,ABW,0.451969658863314
Population growth (annual %),SP.POP.GROW,Australia,AUS,1.48520844681971
Population growth (annual %),SP.POP.GROW,Austria,AUT,0.444673639004876
Population growth (annual %),SP.POP.GROW,Azerbaijan,AZE,0.846646726414021
Population growth (annual %),SP.POP.GROW,"Bahamas, The",BHS,0.657441084996389
Population growth (annual %),SP.POP.GROW,Bahrain,BHR,0.459362584678761
Population growth (annual %),SP.POP.GROW,Bangladesh,BGD,1.1131724900167
Population growth (annual %),SP.POP.GROW,Barbados,BRB,0.175755759089405
Population growth (annual %),SP.POP.GROW,Belarus,BLR,-0.201786600970723
Population growth (annual %),SP.POP.GROW,Belgium,BEL,0.540461327098122
Population growth (annual %),SP.POP.GROW,Belize,BLZ,1.82301611890652
Population growth (annual %),SP.POP.GROW,Benin,BEN,2.88707408493347
Population growth (annual %),SP.POP.GROW,Bermuda,BMU,-0.0109521313739413
Population growth (annual %),SP.POP.GROW,Bhutan,BTN,0.701252583573764
Population growth (annual %),SP.POP.GROW,Bolivia,BOL,1.45750439141779
Population growth (annual %),SP.POP.GROW,Bosnia and Herzegovina,BIH,-1.16608133465016
Population growth (annual %),SP.POP.GROW,Botswana,BWA,1.95085634796209
Population growth (annual %),SP.POP.GROW,Brazil,BRA,0.766107802084815
Population growth (annual %),SP.POP.GROW,British Virgin Islands,VGB,0.902459156305993
Population growth (annual %),SP.POP.GROW,Brunei Darussalam,BRN,0.865282211615446
Population growth (annual %),SP.POP.GROW,Bulgaria,BGR,-0.703905641117455
Population growth (annual %),SP.POP.GROW,Burkina Faso,BFA,2.70387556725288
Population growth (annual %),SP.POP.GROW,Burundi,BDI,3.26424857025887
Population growth (annual %),SP.POP.GROW,Cabo Verde,CPV,1.01513458042928
Population growth (annual %),SP.POP.GROW,Cambodia,KHM,1.13244216195679
Population growth (annual %),SP.POP.GROW,Cameroon,CMR,2.7748797807221
Population growth (annual %),SP.POP.GROW,Canada,CAN,1.43613682316886
Population growth (annual %),SP.POP.GROW,Cayman Islands,CYM,1.90819265891466
Population growth (annual %),SP.POP.GROW,Central African Republic,CAF,2.22336107125156
Population growth (annual %),SP.POP.GROW,Chad,TCD,3.29458272753979
Population growth (annual %),SP.POP.GROW,Channel Islands,CHI,1.27783031331199
Population growth (annual %),SP.POP.GROW,Chile,CHL,1.7913919716665
Population growth (annual %),SP.POP.GROW,China,CHN,0.354740890170827
Population growth (annual %),SP.POP.GROW,Colombia,COL,1.83074694246543
Population growth (annual %),SP.POP.GROW,Comoros,COM,1.87244791212477
Population growth (annual %),SP.POP.GROW,"Congo, Dem. Rep.",COD,3.18628838899818
Population growth (annual %),SP.POP.GROW,"Congo, Rep.",COG,2.355238072353
Population growth (annual %),SP.POP.GROW,Costa Rica,CRI,0.865128346659953
Population growth (annual %),SP.POP.GROW,Cote d'Ivoire,CIV,2.53128744560298
Population growth (annual %),SP.POP.GROW,Croatia,HRV,-0.554146739042888
Population growth (annual %),SP.POP.GROW,Cuba,CUB,-0.101983052203958
Population growth (annual %),SP.POP.GROW,Curacao,CUW,-1.19643951751799
Population growth (annual %),SP.POP.GROW,Cyprus,CYP,0.817517719721429
Population growth (annual %),SP.POP.GROW,Czechia,CZE,0.393788864202175
Population growth (annual %),SP.POP.GROW,Denmark,DNK,0.358130915892652
Population growth (annual %),SP.POP.GROW,Djibouti,DJI,1.57623975223144
Population growth (annual %),SP.POP.GROW,Dominica,DMA,0.850614263332306
Population growth (annual %),SP.POP.GROW,Dominican Republic,DOM,1.07497482890671
Population growth (annual %),SP.POP.GROW,Ecuador,ECU,1.90968326333656
Population growth (annual %),SP.POP.GROW,"Egypt, Arab Rep.",EGY,1.79400212546566
Population growth (annual %),SP.POP.GROW,El Salvador,SLV,0.0617207329334854
Population growth (annual %),SP.POP.GROW,Equatorial Guinea,GNQ,3.33503679402461
Population growth (annual %),SP.POP.GROW,Eritrea,ERI,1.53927354632927
Population growth (annual %),SP.POP.GROW,Estonia,EST,0.371554389037477
Population growth (annual %),SP.POP.GROW,Ethiopia,ETH,2.656010133459
Population growth (annual %),SP.POP.GROW,Faroe Islands,FRO,1.41473188516849
Population growth (annual %),SP.POP.GROW,Fiji,FJI,-0.0577971466911964
Population growth (annual %),SP.POP.GROW,Finland,FIN,0.110191690491055
Population growth (annual %),SP.POP.GROW,France,FRA,0.341374143157509
Population growth (annual %),SP.POP.GROW,French Polynesia,PYF,0.706823205794027
Population growth (annual %),SP.POP.GROW,Gabon,GAB,2.28985536531904
Population growth (annual %),SP.POP.GROW,"Gambia, The",GMB,2.58268676641821
Population growth (annual %),SP.POP.GROW,Georgia,GEO,-0.171565740223868
Population growth (annual %),SP.POP.GROW,Germany,DEU,0.22551987421288
Population growth (annual %),SP.POP.GROW,Ghana,GHA,2.08893118401294
Population growth (annual %),SP.POP.GROW,Gibraltar,GIB,0.113265896118834
Population growth (annual %),SP.POP.GROW,Greece,GRC,-0.105339392724138
Population growth (annual %),SP.POP.GROW,Greenland,GRL,0.359917714454119
Population growth (annual %),SP.POP.GROW,Grenada,GRD,0.724563813014991
Population growth (annual %),SP.POP.GROW,Guam,GUM,-0.0320187846270383
Population growth (annual %),SP.POP.GROW,Guatemala,GTM,1.56038604781094
Population growth (annual %),SP.POP.GROW,Guinea,GIN,2.5376470778001
Population growth (annual %),SP.POP.GROW,Guinea-Bissau,GNB,2.33629046990663
Population growth (annual %),SP.POP.GROW,Guyana,GUY,1.67134809737405
Population growth (annual %),SP.POP.GROW,Haiti,HTI,1.33513859245585
Population growth (annual %),SP.POP.GROW,Honduras,HND,1.68069668453135
Population growth (annual %),SP.POP.GROW,"Hong Kong SAR, China",HKG,0.739283471323064
Population growth (annual %),SP.POP.GROW,Hungary,HUN,-0.0452557101106228
Population growth (annual %),SP.POP.GROW,Iceland,ISL,2.19893225826166
Population growth (annual %),SP.POP.GROW,India,IND,1.02531077187097
Population growth (annual %),SP.POP.GROW,Indonesia,IDN,0.937689273635294
Population growth (annual %),SP.POP.GROW,"Iran, Islamic Rep.",IRN,1.0995932626289
Population growth (annual %),SP.POP.GROW,Iraq,IRQ,2.36838831392184
Population growth (annual %),SP.POP.GROW,Ireland,IRL,1.36762695363797
Population growth (annual %),SP.POP.GROW,Isle of Man,IMN,0.188422790499936
Population growth (annual %),SP.POP.GROW,Israel,ISR,1.90898263957994
Population growth (annual %),SP.POP.GROW,Italy,ITA,-1.15302842389952
Population growth (annual %),SP.POP.GROW,Jamaica,JAM,0.0688992221522009
Population growth (annual %),SP.POP.GROW,Japan,JPN,-0.140464977878172
Population growth (annual %),SP.POP.GROW,Jordan,JOR,2.25750975365016
Population growth (annual %),SP.POP.GROW,Kazakhstan,KAZ,1.28960848954226
Population growth (annual %),SP.POP.GROW,Kenya,KEN,1.97845694844255
Population growth (annual %),SP.POP.GROW,Kiribati,KIR,1.60651238884126
Population growth (annual %),SP.POP.GROW,"Korea, Dem. People's Rep.",PRK,0.456446820087896
Population growth (annual %),SP.POP.GROW,"Korea, Rep.",KOR,0.347874968577526
Population growth (annual %),SP.POP.GROW,Kosovo,XKX,-0.457730006092952
Population growth (annual %),SP.POP.GROW,Kuwait,KWT,2.82985240186539
Population growth (annual %),SP.POP.GROW,Kyrgyz Republic,KGZ,2.08787614010317
Population growth (annual %),SP.POP.GROW,Lao PDR,LAO,1.49540481526456
Population growth (annual %),SP.POP.GROW,Latvia,LVA,-0.695239140136066
Population growth (annual %),SP.POP.GROW,Lebanon,LBN,-2.87986589552119
Population growth (annual %),SP.POP.GROW,Lesotho,LSO,1.25167812193172
Population growth (annual %),SP.POP.GROW,Liberia,LBR,1.94236198013985
Population growth (annual %),SP.POP.GROW,Libya,LBY,1.39951441440416
Population growth (annual %),SP.POP.GROW,Liechtenstein,LIE,0.78525898208049
Population growth (annual %),SP.POP.GROW,Lithuania,LTU,-0.264704354944785
Population growth (annual %),SP.POP.GROW,Luxembourg,LUX,1.9628449198635
Population growth (annual %),SP.POP.GROW,"Macao SAR, China",MAC,1.92636052888412
Population growth (annual %),SP.POP.GROW,North Macedonia,MKD,0.022971838409121
Population growth (annual %),SP.POP.GROW,Madagascar,MDG,2.52531662828285
Population growth (annual %),SP.POP.GROW,Malawi,MWI,2.68285756018368
Population growth (annual %),SP.POP.GROW,Malaysia,MYS,1.24151463105699
Population growth (annual %),SP.POP.GROW,Maldives,MDV,2.96723053964137
Population growth (annual %),SP.POP.GROW,Mali,MLI,3.12666991376831
Population growth (annual %),SP.POP.GROW,Malta,MLT,3.93135631850717
Population growth (annual %),SP.POP.GROW,Marshall Islands,MHL,-2.78025337337267
Population growth (annual %),SP.POP.GROW,Mauritania,MRT,2.6146547551014
Population growth (annual %),SP.POP.GROW,Mauritius,MUS,0.0322330642925213
Population growth (annual %),SP.POP.GROW,Mexico,MEX,0.860265089734684
Population growth (annual %),SP.POP.GROW,"Micronesia, Fed. Sts.",FSM,0.404844283265269
Population growth (annual %),SP.POP.GROW,Moldova,MDA,-1.60031653578231
Population growth (annual %),SP.POP.GROW,Monaco,MCO,0.0135020185722688
Population growth (annual %),SP.POP.GROW,Mongolia,MNG,2.13999709629328
Population growth (annual %),SP.POP.GROW,Montenegro,MNE,-0.0319870125812963
Population growth (annual %),SP.POP.GROW,Morocco,MAR,1.04358412669917
Population growth (annual %),SP.POP.GROW,Mozambique,MOZ,2.88656653514774
Population growth (annual %),SP.POP.GROW,Myanmar,MMR,0.70799909760206
Population growth (annual %),SP.POP.GROW,Namibia,NAM,1.68846817343864
Population growth (annual %),SP.POP.GROW,Nauru,NRU,1.72934140105098
Population growth (annual %),SP.POP.GROW,Nepal,NPL,1.13635160669166
Population growth (annual %),SP.POP.GROW,Netherlands,NLD,0.65507157480522
Population growth (annual %),SP.POP.GROW,New Caledonia,NCL,0.0258107337212034
Population growth (annual %),SP.POP.GROW,New Zealand,NZL,1.59115889619722
Population growth (annual %),SP.POP.GROW,Nicaragua,NIC,1.38548472522896
Population growth (annual %),SP.POP.GROW,Niger,NER,3.76544488542259
Population growth (annual %),SP.POP.GROW,Nigeria,NGA,2.44820069834557
Population growth (annual %),SP.POP.GROW,Northern Mariana Islands,MNP,-0.890563183033054
Population growth (annual %),SP.POP.GROW,Norway,NOR,0.675061373245644
Population growth (annual %),SP.POP.GROW,Oman,OMN,0.0350068045198641
Population growth (annual %),SP.POP.GROW,Pakistan,PAK,1.6079813474837
Population growth (annual %),SP.POP.GROW,Palau,PLW,0.290665380719677
Population growth (annual %),SP.POP.GROW,Panama,PAN,1.60228973055272
Population growth (annual %),SP.POP.GROW,Papua New Guinea,PNG,2.26018781066996
Population growth (annual %),SP.POP.GROW,Paraguay,PRY,1.33657480808218
Population growth (annual %),SP.POP.GROW,Peru,PER,1.90972560807882
Population growth (annual %),SP.POP.GROW,Philippines,PHL,1.65518369204871
Population growth (annual %),SP.POP.GROW,Poland,POL,-0.0244271070993493
Population growth (annual %),SP.POP.GROW,Portugal,PRT,0.0237334946497115
Population growth (annual %),SP.POP.GROW,Puerto Rico,PRI,0.0106465459574109
Population growth (annual %),SP.POP.GROW,Qatar,QAT,1.45331728352711
Population growth (annual %),SP.POP.GROW,Romania,ROU,-0.526814821936341
Population growth (annual %),SP.POP.GROW,Russian Federation,RUS,-0.0495686654330689
Population growth (annual %),SP.POP.GROW,Rwanda,RWA,2.39079436618151
Population growth (annual %),SP.POP.GROW,Samoa,WSM,1.04553544180183
Population growth (annual %),SP.POP.GROW,San Marino,SMR,0.0643896179357351
Population growth (annual %),SP.POP.GROW,Sao Tome and Principe,STP,1.52840326719874
Population growth (annual %),SP.POP.GROW,Saudi Arabia,SAU,2.28458901092139
Population growth (annual %),SP.POP.GROW,Senegal,SEN,2.69763115886709
Population growth (annual %),SP.POP.GROW,Serbia,SRB,-0.536610017822353
Population growth (annual %),SP.POP.GROW,Seychelles,SYC,0.887925293341637
Population growth (annual %),SP.POP.GROW,Sierra Leone,SLE,2.33284062492806
Population growth (annual %),SP.POP.GROW,Singapore,SGP,1.14428330688929
Population growth (annual %),SP.POP.GROW,Sint Maarten (Dutch part),SXM,1.72846502838337
Population growth (annual %),SP.POP.GROW,Slovak Republic,SVK,0.135328072840865
Population growth (annual %),SP.POP.GROW,Slovenia,SVN,0.696304046333357
Population growth (annual %),SP.POP.GROW,Solomon Islands,SLB,2.36010120913781
Population growth (annual %),SP.POP.GROW,Somalia,SOM,3.63316490449428
Population growth (annual %),SP.POP.GROW,South Africa,ZAF,1.29507386292128
Population growth (annual %),SP.POP.GROW,South Sudan,SSD,0.502203354157719
Population growth (annual %),SP.POP.GROW,Spain,ESP,0.717715637103499
Population growth (annual %),SP.POP.GROW,Sri Lanka,LKA,0.611875945764341
Population growth (annual %),SP.POP.GROW,St. Kitts and Nevis,KNA,-0.102646830627199
Population growth (annual %),SP.POP.GROW,St. Lucia,LCA,0.389934037054534
Population growth (annual %),SP.POP.GROW,St. Martin (French part),MAF,-2.18305595098921
Population growth (annual %),SP.POP.GROW,St. Vincent and the Grenadines,VCT,-0.339668745500942
Population growth (annual %),SP.POP.GROW,Sudan,SDN,2.89358996893094
Population growth (annual %),SP.POP.GROW,Suriname,SUR,1.10317898471941
Population growth (annual %),SP.POP.GROW,Eswatini,SWZ,0.788402227821078
Population growth (annual %),SP.POP.GROW,Sweden,SWE,1.01372226345511
Population growth (annual %),SP.POP.GROW,Switzerland,CHE,0.713313668444329
Population growth (annual %),SP.POP.GROW,Syrian Arab Republic,SYR,3.87953676012686
Population growth (annual %),SP.POP.GROW,Tajikistan,TJK,2.26242493497438
